"repair_id","source_document_id","source_document_hash","source_file_name","source_file_path","source_file_path_resolution","source_page","affected_v1_chunk_ids","page_v1_chunk_ids","reference_ids","automatic_defect_classification","reviewed_classification","final_action","repair_reason","automatic_reasons","extraction_method_used_v1","ocr_confidence","proposed_v2_extraction_method","required_human_follow_up","repair_status","source_file_exists","source_hash_matches"
"V2-REPAIR-001","18r0QL1RxoXIs-fx6q8pwdjgHXPPVzw9D","488ff49f394e4a7f2aac564ba6af80efa2cbdb6ee44b2381ff92429156933d40","Attestation LE MOTEUR - ITALCAR - AMOA Choix ERP 2018 (1).pdf","external://Devoteam_AI_CLEAN_PIPELINE/data\snapshots\20260714T154731Z_129ff982c8\raw\evidence\18r0QL1RxoXIs-fx6q8pwdjgHXPPVzw9D__Attestation LE MOTEUR - ITALCAR - AMOA Choix ERP 2018 (1).pdf","EXACT_RELATIVE_PATH","1","c01fa1e22614661b80158d8a7e6115937ae62a25fc1b8873afc06fde9e6dc609","35d96e5ae08afaa9847be60d3bbbd1d98e7ae3f7be8be0aaa29396fa72f4b68b;c01fa1e22614661b80158d8a7e6115937ae62a25fc1b8873afc06fde9e6dc609","e4154815cbda34146b9715b1975ecb5cb5ae3cad5017e6199c4b4883bfda4593","CORRUPTED","CORRUPTED","REPAIR_OR_REEXTRACT","Substantial OCR or layout corruption makes the excerpt unreliable. Re-extract or exclude.","EXCESSIVE_FRAGMENTATION;OCR_GIBBERISH","tesseract_ocr","86.6153846154","MULTILINGUAL_OCR_FRA_ENG_ARA_CONTROLLED_STRATEGIES","YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE","PENDING_DEPENDENCY_CHECK","True","True"
"V2-REPAIR-002","12Z0Rux2KvL9GX-cQYHXvru8g1nF4MsC2","17a95c2f50d9ccc8b2c6af686ad2aaff3cead7589beae8cfbe899ef8f7a8db52","Attestion de réf EDM Gestion de projets (2).pdf","external://Devoteam_AI_CLEAN_PIPELINE/data\snapshots\20260714T154731Z_129ff982c8\raw\evidence\12Z0Rux2KvL9GX-cQYHXvru8g1nF4MsC2__Attestion de réf EDM Gestion de projets (2).pdf","EXACT_RELATIVE_PATH","1","466da991a78e7bdc32da3cd5c3f5be7ff8c99f0383dea9e4f6bdf564fb9c7413","466da991a78e7bdc32da3cd5c3f5be7ff8c99f0383dea9e4f6bdf564fb9c7413;9b6ec923b86561d0a27ee2447475559c91867c9b340672706b0e56c2f6843e06","fe52747de709f165464348209eef2d6575d4dc41fc61a65ec231d5f655166ad1","CORRUPTED","CORRUPTED","REPAIR_OR_REEXTRACT","Substantial OCR or layout corruption makes the excerpt unreliable. Re-extract or exclude.","EXCESSIVE_FRAGMENTATION;OCR_GIBBERISH","tesseract_ocr","87.5662650602","MULTILINGUAL_OCR_FRA_ENG_ARA_CONTROLLED_STRATEGIES","YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE","PENDING_DEPENDENCY_CHECK","True","True"
"V2-REPAIR-003","1sgAc96hguNzRPhG3-eKF9NYzs3uvYrjr","19f9dad0d9ec4aab9dc0f130f11c752ee9ac65357e8377953f984504d694a791","BC-BMCI.pdf","external://Devoteam_AI_CLEAN_PIPELINE/data\snapshots\20260714T154731Z_129ff982c8\raw\evidence\1sgAc96hguNzRPhG3-eKF9NYzs3uvYrjr__BC-BMCI.pdf","EXACT_RELATIVE_PATH","1","5595c45da1380273c51af01a17e1550ac0f500beeac466c01d9248327b6dc750","5595c45da1380273c51af01a17e1550ac0f500beeac466c01d9248327b6dc750","d9910e8a1e4ba5b312484efdce47cfe184eb0c0f5ae1b5784a3809d5f0827a24","CORRUPTED","CORRUPTED","REPAIR_OR_REEXTRACT","Substantial OCR or layout corruption makes the excerpt unreliable. Re-extract or exclude.","EXCESSIVE_FRAGMENTATION;OCR_GIBBERISH","tesseract_ocr","73.6941176471","MULTILINGUAL_OCR_FRA_ENG_ARA_CONTROLLED_STRATEGIES","YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE","PENDING_DEPENDENCY_CHECK","True","True"
"V2-REPAIR-004","1KqIfRav47BU2AiOprNfWX45HKuSwCWkh","ac5b1d02dc294a2d5843f59a2289831b11d52dc28c88f183be87fada1d86a15c","BIAT_MCO.pdf","external://Devoteam_AI_CLEAN_PIPELINE/data\snapshots\20260714T154731Z_129ff982c8\raw\evidence\1KqIfRav47BU2AiOprNfWX45HKuSwCWkh__BIAT_MCO.pdf","EXACT_RELATIVE_PATH","2","38500b06bd19daf7d0930ca994f293c19b3ff879ade0bb62bbb3a2552130d0fc","0a9d9667ee27e358597c926762a42ddd3dc7a748409d3ced3e247ba5af5d73ce;38500b06bd19daf7d0930ca994f293c19b3ff879ade0bb62bbb3a2552130d0fc","31b38641362917748ceb82e29e8b0568b15406f62c1714d2fd4614ab469b9411","INCOHERENT_MIXED_CONTENT","INCOHERENT_MIXED_CONTENT","REPAIR_OR_REEXTRACT","Mixed scripts/languages are interleaved in an incoherent reading order. Exclude and consider targeted re-extraction.","EXCESSIVE_FRAGMENTATION;OCR_GIBBERISH;INCOHERENT_MIXED_SCRIPT","tesseract_ocr","77.980861244","MULTILINGUAL_OCR_FRA_ENG_ARA_CONTROLLED_STRATEGIES","YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE","PENDING_DEPENDENCY_CHECK","True","True"
"V2-REPAIR-005","1KqIfRav47BU2AiOprNfWX45HKuSwCWkh","ac5b1d02dc294a2d5843f59a2289831b11d52dc28c88f183be87fada1d86a15c","BIAT_MCO.pdf","external://Devoteam_AI_CLEAN_PIPELINE/data\snapshots\20260714T154731Z_129ff982c8\raw\evidence\1KqIfRav47BU2AiOprNfWX45HKuSwCWkh__BIAT_MCO.pdf","EXACT_RELATIVE_PATH","3","77f3023b27ae5c32c4adf104ddddbb8674556f71742c4585b7036ae1f4dfd3aa;83246513234d067c45993ab4a83e46cd546a92e62702e82411a87a9056db6e94","525ebc03cb788ba75899aef4f3f8710833009fd72f60761460092f374cfbbf15;77f3023b27ae5c32c4adf104ddddbb8674556f71742c4585b7036ae1f4dfd3aa;83246513234d067c45993ab4a83e46cd546a92e62702e82411a87a9056db6e94","31b38641362917748ceb82e29e8b0568b15406f62c1714d2fd4614ab469b9411","CORRUPTED;READABLE_WITH_LAYOUT_NOISE","CORRUPTED","REPAIR_OR_REEXTRACT","Substantial OCR or layout corruption makes the excerpt unreliable. Re-extract or exclude.","INTRINSIC_QUALITY_PASS;OCR_GIBBERISH","tesseract_ocr","85.128742515","MULTILINGUAL_OCR_FRA_ENG_ARA_CONTROLLED_STRATEGIES","YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE","PENDING_DEPENDENCY_CHECK","True","True"
"V2-REPAIR-006","1KqIfRav47BU2AiOprNfWX45HKuSwCWkh","ac5b1d02dc294a2d5843f59a2289831b11d52dc28c88f183be87fada1d86a15c","BIAT_MCO.pdf","external://Devoteam_AI_CLEAN_PIPELINE/data\snapshots\20260714T154731Z_129ff982c8\raw\evidence\1KqIfRav47BU2AiOprNfWX45HKuSwCWkh__BIAT_MCO.pdf","EXACT_RELATIVE_PATH","4","35594d8c1b79d0726f88e55e4dcfb8c23276e4a7e8eb138350b4051a61ac0319","0221a35f2b28820262218086aedeaa7ebd20068cd305ca0deb41fef91db875a9;35594d8c1b79d0726f88e55e4dcfb8c23276e4a7e8eb138350b4051a61ac0319;74f09b34f7908626df8bdcbb31d78f1328d9a0aeeac75305acb6916c22cbf2d0","31b38641362917748ceb82e29e8b0568b15406f62c1714d2fd4614ab469b9411","CLEAN","INCOHERENT_MIXED_CONTENT","REPAIR_OR_REEXTRACT","Mixed scripts/languages are interleaved in an incoherent reading order. Exclude and consider targeted re-extraction.","INTRINSIC_QUALITY_PASS","tesseract_ocr","80.4006410256","MULTILINGUAL_OCR_FRA_ENG_ARA_CONTROLLED_STRATEGIES","YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE","PENDING_DEPENDENCY_CHECK","True","True"
"V2-REPAIR-007","18FkhkQWqnNaQdyn5DviVHZAVspGfvy_n","61bc903120205f9a12e5e84d7b587601efd10df31a63be7386b6738b80eee294","CONTRAT NSIA - DEVOTEAM - Mise en place de la nouvelle Organisation vf (1) (1).pdf","external://Devoteam_AI_CLEAN_PIPELINE/data\snapshots\20260714T154731Z_129ff982c8\raw\evidence\18FkhkQWqnNaQdyn5DviVHZAVspGfvy_n__CONTRAT NSIA - DEVOTEAM - Mise en place de la nouvelle Organisation vf (1) (1).pdf","EXACT_RELATIVE_PATH","14","20e514f4c007f401f71c78b7f5ca5386d029258bdc51b9bdff18dee40138042e","20e514f4c007f401f71c78b7f5ca5386d029258bdc51b9bdff18dee40138042e;5361816dacb87bb88f4ef261c80df1898260d75c79bbbf0ab13d5b2bb31eadb2;cb791b53c52d3eb8d3f4930b647c877ade0831ff5517ee179c97adabbb4e6dae;f352aa9f44bf13707eaf2d45318af5227532e49326b9e0f699549f0913d97a21","1050dc5ecb89d278aeddbd0b4548867b56d072c72eec4153709ec701cbba8be2","READABLE_WITH_LAYOUT_NOISE","INCOHERENT_MIXED_CONTENT","REPAIR_OR_REEXTRACT","Mixed scripts/languages are interleaved in an incoherent reading order. Exclude and consider targeted re-extraction.","INTRINSIC_QUALITY_PASS","tesseract_ocr","80.3976470588","MULTILINGUAL_OCR_FRA_ENG_ARA_CONTROLLED_STRATEGIES","YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE","PENDING_DEPENDENCY_CHECK","True","True"
"V2-REPAIR-008","1Xdpgr2VTsOTLw4W7P2uNID4SJnrOwDvc","ccc4c06f138a9d2ed59f254c9b19e521ac0d56a6848324c91e01aadb9df66fe4","Contrat BH PCA 2017.pdf","external://Devoteam_AI_CLEAN_PIPELINE/data\snapshots\20260714T154731Z_129ff982c8\raw\evidence\1Xdpgr2VTsOTLw4W7P2uNID4SJnrOwDvc__Contrat BH PCA 2017.pdf","EXACT_RELATIVE_PATH","2","a55d8dbb2b1ba55e3e976fa9ca81f6d022838f8e1a32876d2b4cd7a271e6d8e6","4ca5c6ced9c1e7392733151b37451dff867c38ea370ad5fbf716fa94e8b58b08;a55d8dbb2b1ba55e3e976fa9ca81f6d022838f8e1a32876d2b4cd7a271e6d8e6;af15968af529f0c128d9386c18a370c2a459d95d977a6885683e8a5c80d58f01","b3bdfbb8c906aa73c8fdcb26ad008ca3a34c37d470abe0be016776fefd9b2a90","READABLE_WITH_LAYOUT_NOISE","INCOHERENT_MIXED_CONTENT","REPAIR_OR_REEXTRACT","Mixed scripts/languages are interleaved in an incoherent reading order. Exclude and consider targeted re-extraction.","INTRINSIC_QUALITY_PASS","tesseract_ocr","87.8380681818","MULTILINGUAL_OCR_FRA_ENG_ARA_CONTROLLED_STRATEGIES","YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE","PENDING_DEPENDENCY_CHECK","True","True"
"V2-REPAIR-009","1Z0Xj34r2HOSeI0BY35tCKQ8vspbcjbIO","06311d62b029926995782f39f2aa830859cb42e35438197e0cfdc141e76ef2f5","Contrat STEG (2).pdf","external://Devoteam_AI_CLEAN_PIPELINE/data\snapshots\20260714T154731Z_129ff982c8\raw\evidence\1Z0Xj34r2HOSeI0BY35tCKQ8vspbcjbIO__Contrat STEG (2).pdf","EXACT_RELATIVE_PATH","11","d8f710625aa84a8bcd3d29b0ecac3a247808b59034b6f0e3e5fc9b75264acac9","11ac7fc0b9e064019d56e74d00c79f36b0412799076c7582df91e0154a0291ad;58b943ff7ec69f756a5f931a415076b5ba8788003be7a5e8a3f66741aefff452;943d8ed779216b1eba80b25e9e6d4fd6bdb674a21eee4d6d2926ff6547765cb8;d8f710625aa84a8bcd3d29b0ecac3a247808b59034b6f0e3e5fc9b75264acac9","93255fc7d7b5e84223c7cfb1cb3c3020f07ea64b410cb9aeecb304e2912aa48f","INCOHERENT_MIXED_CONTENT","INCOHERENT_MIXED_CONTENT","REPAIR_OR_REEXTRACT","Mixed scripts/languages are interleaved in an incoherent reading order. Exclude and consider targeted re-extraction.","EXCESSIVE_SINGLE_CHARACTER_TOKENS;INCOHERENT_MIXED_SCRIPT","tesseract_ocr","77.7722007722","MULTILINGUAL_OCR_FRA_ENG_ARA_CONTROLLED_STRATEGIES","YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE","PENDING_DEPENDENCY_CHECK","True","True"
"V2-REPAIR-010","1Rh0QTa2bVdQ_mjwWK0FDRMUcoa9hMo6L","9ec65c66dbdc18cd35f520254301f9c4fa05bd73aab1a9bf2fb09aace1df791d","Contrat de mission de sous-traitance ODEDIS 2021 Orange CI (1).pdf","external://Devoteam_AI_CLEAN_PIPELINE/data\snapshots\20260714T154731Z_129ff982c8\raw\evidence\1Rh0QTa2bVdQ_mjwWK0FDRMUcoa9hMo6L__Contrat de mission de sous-traitance ODEDIS 2021 Orange CI (1).pdf","EXACT_RELATIVE_PATH","4","0f33bda27645fdecf1a3c72ca324716ce985e05f5535db24028f09c098b93b90","0f33bda27645fdecf1a3c72ca324716ce985e05f5535db24028f09c098b93b90;19f4f9a85b1bd5ac4ce428639c446327f3184ef84a24c3043500e912e3bb9cb8","0c4745eec93aaac3efac80af968da5f0c03f544837f98ad680b2cb29342f9037","CORRUPTED","CORRUPTED","REPAIR_OR_REEXTRACT","Substantial OCR or layout corruption makes the excerpt unreliable. Re-extract or exclude.","EXCESSIVE_SINGLE_CHARACTER_TOKENS","tesseract_ocr","66.4789272031","MULTILINGUAL_OCR_FRA_ENG_ARA_CONTROLLED_STRATEGIES","YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE","PENDING_DEPENDENCY_CHECK","True","True"
