query_id,query_text,language,business_context,mandatory_filters_json,query_type,origin,not_derived_from_reference_corpus_yes_no,approved_for_development_yes_no,author_or_owner,notes
DEV-001,,,,{},,,,,,
DEV-002,,,,{},,,,,,
DEV-003,,,,{},,,,,,
DEV-004,,,,{},,,,,,
DEV-005,,,,{},,,,,,
DEV-006,,,,{},,,,,,
DEV-007,,,,{},,,,,,
DEV-008,,,,{},,,,,,
DEV-009,,,,{},,,,,,
DEV-010,,,,{},,,,,,
DEV-011,,,,{},,,,,,
DEV-012,,,,{},,,,,,
DEV-013,,,,{},,,,,,
DEV-014,,,,{},,,,,,
DEV-015,,,,{},,,,,,
DEV-016,,,,{},,,,,,
DEV-017,,,,{},,,,,,
DEV-018,,,,{},,,,,,
DEV-019,,,,{},,,,,,
DEV-020,,,,{},,,,,,
DEV-021,,,,{},,,,,,
DEV-022,,,,{},,,,,,
DEV-023,,,,{},,,,,,
DEV-024,,,,{},,,,,,
DEV-025,,,,{},,,,,,
DEV-026,,,,{},,,,,,
DEV-027,,,,{},,,,,,
DEV-028,,,,{},,,,,,
DEV-029,,,,{},,,,,,
DEV-030,,,,{},,,,,,
DEV-031,,,,{},,,,,,
DEV-032,,,,{},,,,,,
DEV-033,,,,{},,,,,,
DEV-034,,,,{},,,,,,
DEV-035,,,,{},,,,,,
DEV-036,,,,{},,,,,,
DEV-037,,,,{},,,,,,
DEV-038,,,,{},,,,,,
DEV-039,,,,{},,,,,,
DEV-040,,,,{},,,,,,
DEV-041,,,,{},,,,,,
DEV-042,,,,{},,,,,,
DEV-043,,,,{},,,,,,
DEV-044,,,,{},,,,,,
DEV-045,,,,{},,,,,,
DEV-046,,,,{},,,,,,
DEV-047,,,,{},,,,,,
DEV-048,,,,{},,,,,,
DEV-049,,,,{},,,,,,
DEV-050,,,,{},,,,,,
