query_id,candidate_id,reference_id,serving_rank,bm25_score,dense_cosine,hybrid_rrf,query_term_coverage,source_document,source_page,relevance_judgment
TECH-FR-001,TECH-FR-001-C01,62a9d1226bbe6d3c4560efcd092bc0be86715b0586de4a0a419707e9476041e1,18,7.173839,0.842558,0.0083185,0.5,Cadrage PCA COMAR 2020 (1).pdf,1,
TECH-FR-001,TECH-FR-001-C02,09f4d3df1b5d65aa8a6a049d51f4e0b4a6496bfcad459fa94d8ab5b76bc8b15b,19,7.154793,0.836305,0.00787815,0.75,Attestation OACA Mission PCA 2018 (1).pdf,1,
TECH-FR-001,TECH-FR-001-C03,d2bcb45b0c1b5ceead755effa0f71b9eeef8671222fb364fe31f58ca60a84616,11,8.36036,0.85313,0.01168478,0.75,Attestation Cadrage PCA MAE 2019 (1).pdf,1,
TECH-FR-001,TECH-FR-001-C04,b3bdfbb8c906aa73c8fdcb26ad008ca3a34c37d470abe0be016776fefd9b2a90,2,9.998836,0.863384,0.01550481,1.0,Contrat BH PCA 2017.pdf,1,
TECH-FR-001,TECH-FR-001-C05,41a486681db7706b7fb1ff65aa6ec0bae9cd3365ce9d2dd4201de7fee6aba0cd,6,8.928447,0.854511,0.01282262,1.0,Contrat Al Baraka PCA (1).pdf,1,
TECH-FR-001,TECH-FR-001-C06,95abaf3e9e68fe399991e6feb166817adc7a1bd96424a0390809865cff492b25,14,7.901184,0.844097,0.00953765,0.75,Attestation de PCA STAR 2016 .pdf,1,
TECH-FR-001,TECH-FR-001-C07,de2039c469393234a54e9902733b9c7d93092802cc6391084944b6db5fe714ba,3,9.507355,0.870282,0.01507937,0.75,BNA_Attestation de Référence_Accompagnement PCA.pdf,1,
TECH-FR-001,TECH-FR-001-C08,6be20ce073d3d7d5fed66345f2d7484809b0eb902b43213436e74f3b0952265a,10,8.582715,0.850157,0.01190645,0.75,Contrat Zitouna  PCA .pdf,2,
TECH-FR-001,TECH-FR-001-C09,579dd1becd99c7e5d89ee248efcb68db42cd1d747496ac19d868d77010698ec2,15,7.536184,0.843119,0.00918127,0.75,Attestation de PCA OMMP 2019.pdf,1,
TECH-FR-001,TECH-FR-001-C10,c9a8ed8cbd88c6709bb8ae0ee1cca7845d518212b63606399b924db80b6f30bc,17,5.397518,0.849112,0.00850015,0.75,attestation-de-reference-enda-cash.pdf,1,
TECH-FR-001,TECH-FR-001-C11,bfff0fd21ffbf03818d1e6a814d54249599b58b85b18e8c20c28a09b28461f7d,4,9.764677,0.860149,0.01470588,0.75,Attestation de PCA BIAT 2014.pdf,1,
TECH-FR-001,TECH-FR-001-C12,f88d0ed9ff864aec09a27a05738b73780b7b9de7e755cd0a3a1a45405233383d,13,8.143764,0.846143,0.01042685,1.0,mise en place PCA.pdf,1,
TECH-FR-001,TECH-FR-001-C13,647624c5a1758d25a07147463c4f652d15470db496512123252d16f1d30ae3a7,16,7.351501,0.841616,0.00865817,0.75,Attestation DEVOTEAM 28042022 - BIS (3).pdf,1,
TECH-FR-001,TECH-FR-001-C14,dd1d9c2b79452203612f7c767ba3f73f769ca79a2449c7ba678b4906948a964a,5,10.00557,0.846866,0.01336806,0.75,Contrat PCA Tunisie Leasing 2016.pdf,1,
TECH-FR-001,TECH-FR-001-C15,c19775419dd239ec4529d57f0240c026cc4c79ee72487570f9f0e6fae36d5aa2,1,10.642774,0.865129,0.01626124,0.75,Contrat PCA STB 2017.pdf,2,
TECH-FR-001,TECH-FR-001-C16,58004b365d3d74391a9c60eff7f70bd82d589718a355a1260e333611d19f8f7c,9,8.734425,0.847994,0.01194709,0.75,Attestation de référence MITIGAN. PCA.pdf,1,
TECH-FR-001,TECH-FR-001-C17,943b5ea4f9206b399b32f7a06e2d5f7ead6ca2a4c850ee964f032f46efc68348,12,8.936684,0.843489,0.01134085,0.75,SMT Monetique Tunisie PCA 2016 (1).pdf,1,
TECH-FR-001,TECH-FR-001-C18,483e7b21bac4b9f368b05166179ee495bd3a5288c0c9b112f47a122437a7d50e,8,8.360682,0.857447,0.01205765,0.75,Attestation de PCA BFI 2019 (1).pdf,1,
TECH-FR-001,TECH-FR-001-C19,15e2e960913e748bc4ba6090c23e92c6a3215e353d46b46e2e3df6798bdae279,7,8.642795,0.856233,0.01275179,0.75,Attestation ENDA PCA 2014 (1).pdf,1,
TECH-FR-001,TECH-FR-001-C20,38f6543c913e6155ed935bc93b2eb9adb740b8d292f9afd40065032ca7b62b82,20,6.093664,0.841977,0.00755071,1.0,Opérationnalisation du PCA de la BCT.pdf,1,
TECH-EN-001,TECH-EN-001-C01,de2039c469393234a54e9902733b9c7d93092802cc6391084944b6db5fe714ba,1,0.0,0.819482,0.00869823,0.0,BNA_Attestation de Référence_Accompagnement PCA.pdf,1,
TECH-EN-001,TECH-EN-001-C02,58004b365d3d74391a9c60eff7f70bd82d589718a355a1260e333611d19f8f7c,16,0.0,0.789518,0.00454545,0.0,Attestation de référence MITIGAN. PCA.pdf,1,
TECH-EN-001,TECH-EN-001-C03,647624c5a1758d25a07147463c4f652d15470db496512123252d16f1d30ae3a7,18,0.0,0.784644,0.00406644,0.0,Attestation DEVOTEAM 28042022 - BIS (3).pdf,1,
TECH-EN-001,TECH-EN-001-C04,09f4d3df1b5d65aa8a6a049d51f4e0b4a6496bfcad459fa94d8ab5b76bc8b15b,20,0.0,0.785402,0.00342994,0.0,Attestation OACA Mission PCA 2018 (1).pdf,1,
TECH-EN-001,TECH-EN-001-C05,15e2e960913e748bc4ba6090c23e92c6a3215e353d46b46e2e3df6798bdae279,7,0.0,0.799822,0.00695647,0.0,Attestation ENDA PCA 2014 (1).pdf,1,
TECH-EN-001,TECH-EN-001-C06,f88d0ed9ff864aec09a27a05738b73780b7b9de7e755cd0a3a1a45405233383d,15,0.0,0.789053,0.00459029,0.0,mise en place PCA.pdf,1,
TECH-EN-001,TECH-EN-001-C07,62a9d1226bbe6d3c4560efcd092bc0be86715b0586de4a0a419707e9476041e1,17,0.0,0.78884,0.0045055,0.0,Cadrage PCA COMAR 2020 (1).pdf,1,
TECH-EN-001,TECH-EN-001-C08,6be20ce073d3d7d5fed66345f2d7484809b0eb902b43213436e74f3b0952265a,2,3.27899,0.793539,0.00856265,0.0,Contrat Zitouna  PCA .pdf,2,
TECH-EN-001,TECH-EN-001-C09,bfff0fd21ffbf03818d1e6a814d54249599b58b85b18e8c20c28a09b28461f7d,6,0.0,0.810073,0.00796169,0.0,Attestation de PCA BIAT 2014.pdf,1,
TECH-EN-001,TECH-EN-001-C10,38f6543c913e6155ed935bc93b2eb9adb740b8d292f9afd40065032ca7b62b82,12,0.0,0.788887,0.00540502,0.0,Opérationnalisation du PCA de la BCT.pdf,1,
TECH-EN-001,TECH-EN-001-C11,b3bdfbb8c906aa73c8fdcb26ad008ca3a34c37d470abe0be016776fefd9b2a90,3,0.0,0.811218,0.00854265,0.0,Contrat BH PCA 2017.pdf,1,
TECH-EN-001,TECH-EN-001-C12,54b110427999b6eebe2f45331c0f98f70c2f5085e0d81e6fac012c72d3ca4278,19,0.0,0.786434,0.0034873,0.0,Attestation de PCA TRADEX.pdf,1,
TECH-EN-001,TECH-EN-001-C13,c19775419dd239ec4529d57f0240c026cc4c79ee72487570f9f0e6fae36d5aa2,4,0.0,0.811614,0.00826663,0.0,Contrat PCA STB 2017.pdf,2,
TECH-EN-001,TECH-EN-001-C14,483e7b21bac4b9f368b05166179ee495bd3a5288c0c9b112f47a122437a7d50e,8,0.0,0.800716,0.0068793,0.0,Attestation de PCA BFI 2019 (1).pdf,1,
TECH-EN-001,TECH-EN-001-C15,d2bcb45b0c1b5ceead755effa0f71b9eeef8671222fb364fe31f58ca60a84616,10,0.0,0.795363,0.00601809,0.0,Attestation Cadrage PCA MAE 2019 (1).pdf,1,
TECH-EN-001,TECH-EN-001-C16,579dd1becd99c7e5d89ee248efcb68db42cd1d747496ac19d868d77010698ec2,13,0.0,0.790993,0.00537318,0.0,Attestation de PCA OMMP 2019.pdf,1,
TECH-EN-001,TECH-EN-001-C17,41a486681db7706b7fb1ff65aa6ec0bae9cd3365ce9d2dd4201de7fee6aba0cd,5,2.653337,0.801643,0.00824789,0.25,Contrat Al Baraka PCA (1).pdf,1,
